role,question,keywords,reference_answer,,
Backend Developer,How do you implement authentication and authorization in a backend system?,"authentication, apis, nodejs","Authentication verifies identity using techniques like JWT tokens, OAuth, or session cookies. Authorization controls access based on user roles and permissions. In Node.js, libraries like Passport.js handle authentication flows, while middleware functions enforce role-based access control (RBAC) on protected routes.",,
Backend Developer,What experience do you have with Node.js and its ecosystem?,"nodejs, apis","Node.js is a JavaScript runtime for building scalable server-side applications using an event-driven, non-blocking I/O model. Key ecosystem tools include Express.js for routing, Mongoose for MongoDB, Sequelize for SQL databases, dotenv for environment configuration, and Jest or Mocha for testing backend logic.",,
Backend Developer,How do you handle error handling and logging in a backend application?,"nodejs, apis, databases","Errors are handled using try/catch blocks, centralized error-handling middleware in Express, and proper HTTP status codes (400 for bad requests, 500 for server errors). Logging is implemented using libraries like Winston or Morgan to record request details, errors, and system events, which are sent to monitoring tools like Datadog or CloudWatch.",,
Data Scientist,What steps do you follow in the data cleaning process?,"data cleaning, statistics","Data cleaning involves identifying and handling missing values (imputation or removal), removing duplicate records, correcting data types, handling outliers, normalizing or standardizing numerical features, and encoding categorical variables. Libraries like Pandas in Python are commonly used for these transformations.",,
Data Scientist,What is the difference between supervised and unsupervised machine learning?,"machine learning, statistics","Supervised learning trains a model on labeled data to predict outcomes, such as classification or regression tasks. Unsupervised learning finds hidden patterns in unlabeled data, such as clustering or dimensionality reduction. The choice depends on whether labeled data is available and the nature of the problem.",,
Data Scientist,What statistical methods do you use for data analysis?,"statistics, data cleaning","Common statistical methods include descriptive statistics (mean, median, variance), correlation analysis, hypothesis testing (t-tests, chi-square), ANOVA, and regression analysis. These methods help understand data distributions, relationships between variables, and the statistical significance of findings.",,
Data Scientist,How do you handle missing or imbalanced data in a dataset?,"data cleaning, machine learning","Missing data is handled by imputation (mean, median, mode, or model-based), or removal if the proportion is small. Imbalanced datasets are addressed using oversampling techniques (SMOTE), undersampling, class weight adjustment in model training, or evaluation with metrics like F1-score and AUC-ROC instead of accuracy.",,
Data Scientist,What machine learning algorithms have you used and for what problem types?,"machine learning, statistics","Common algorithms include Linear Regression for continuous predictions, Logistic Regression for classification, Decision Trees and Random Forests for complex classification, K-Means for clustering, and XGBoost for structured data competitions. Algorithm choice depends on data size, interpretability needs, and the type of prediction required.",,
Cloud Computing,What is the difference between IaaS PaaS and SaaS?,"cloud services, aws, azure","IaaS (e.g., AWS EC2) provides raw infrastructure like VMs and storage. PaaS (e.g., AWS Elastic Beanstalk, Azure App Service) provides a managed platform for deploying applications without managing the underlying infrastructure. SaaS (e.g., Google Workspace) delivers fully managed software over the internet.",,
Cloud Computing,What AWS services have you worked with and for what purposes?,"aws, cloud services","Commonly used AWS services include EC2 for virtual machines, S3 for object storage, RDS for managed relational databases, Lambda for serverless functions, IAM for access control, CloudWatch for monitoring, and Route 53 for DNS management. These services are combined to build scalable and highly available cloud architectures.",,
Cloud Computing,How do you ensure high availability and scalability in a cloud architecture?,"aws, azure, cloud services","High availability is achieved through multi-region or multi-availability-zone deployments, load balancers, and automatic failover. Scalability is ensured with auto-scaling groups, managed services like AWS Lambda or Azure Functions, and distributed databases. Redundancy and health checks are critical for minimizing downtime.",,
Cloud Computing,What is the difference between AWS and Azure and when would you choose one over the other?,"aws, azure, cloud services","AWS is the most mature cloud provider with the widest range of services and is preferred for general cloud workloads and startups. Azure integrates deeply with Microsoft products and is preferred in enterprise environments using Windows Server, Active Directory, or Microsoft 365. Both support hybrid cloud, containers, and AI services.",,
Cloud Computing,How do you manage security and access control in a cloud environment?,"cloud services, aws, azure","Security is managed through the principle of least privilege using IAM roles and policies, network segmentation with VPCs and security groups, encryption of data at rest and in transit, multi-factor authentication, and continuous monitoring with services like AWS CloudTrail or Azure Security Center. Regular audits and compliance checks are essential.",,
Cybersecurity,What is the role of a firewall in network security?,"firewalls, threat analysis",A firewall monitors and controls incoming and outgoing network traffic based on predefined security rules. It acts as a barrier between trusted internal networks and untrusted external networks. Firewalls can be network-based (hardware) or host-based (software) and are a foundational layer in a defense-in-depth security strategy.,,
Cybersecurity,How do you conduct a threat analysis for a system?,"threat analysis, firewalls","Threat analysis involves identifying assets, mapping potential threats using frameworks like STRIDE or MITRE ATT&CK, assessing vulnerabilities, evaluating the likelihood and impact of each threat, and prioritizing mitigation efforts. The output is a threat model that guides security controls, firewall rules, and incident response planning.",,
Cybersecurity,What is the difference between symmetric and asymmetric encryption?,"encryption, threat analysis","Symmetric encryption uses the same key for encryption and decryption (e.g., AES) and is fast, making it suitable for large data. Asymmetric encryption uses a public/private key pair (e.g., RSA, ECC) and is slower but enables secure key exchange and digital signatures. HTTPS combines both: asymmetric for handshake, symmetric for data transfer.",,
Cybersecurity,What is penetration testing and how do you approach it?,"threat analysis, firewalls, encryption","Penetration testing simulates cyberattacks to identify vulnerabilities before malicious actors do. The process includes reconnaissance, scanning, exploitation, post-exploitation, and reporting. Tools like Nmap, Metasploit, and Burp Suite are used. Results are documented with risk ratings and remediation recommendations.",,
Cybersecurity,How do you respond to a security breach or incident?,"threat analysis, encryption, firewalls","Incident response follows a structured plan: Identification (detect the breach), Containment (isolate affected systems), Eradication (remove the threat), Recovery (restore systems), and Lessons Learned (post-mortem analysis). Logs, firewall rules, and encryption audit trails are reviewed to understand the attack vector and prevent recurrence.",,
Ai,What is the difference between machine learning and deep learning?,"deep learning, neural networks","Machine learning uses algorithms that learn patterns from structured data using features engineered by humans (e.g., decision trees, SVMs). Deep learning is a subset of ML that uses multi-layered neural networks to automatically learn hierarchical features from raw data, making it especially powerful for images, text, and audio tasks.",,
Ai,How do neural networks learn from data?,"neural networks, deep learning","Neural networks learn by passing data through layers of interconnected nodes, computing predictions, measuring error using a loss function, and adjusting weights through backpropagation and gradient descent. This iterative process reduces prediction error over many training epochs, allowing the network to learn complex patterns.",,
Ai,What are large language models (LLMs) and how do they work?,"llms, deep learning, neural networks",LLMs are deep learning models trained on massive text datasets to understand and generate human language. They use the Transformer architecture with attention mechanisms to capture contextual relationships across long sequences. Models like GPT and Claude are trained using self-supervised learning on next-token prediction objectives.,,
Ai,How do you prevent overfitting in a deep learning model?,"deep learning, neural networks","Overfitting is prevented using techniques such as dropout layers (randomly deactivating neurons during training), L1/L2 regularization, early stopping based on validation loss, data augmentation to increase training data variety, and reducing model complexity. Cross-validation is also used to evaluate generalization performance.",,
Ai,What frameworks do you use for building and training neural networks?,"neural networks, deep learning, llms","Popular frameworks include TensorFlow and Keras for production-grade models with deployment support, PyTorch for research and flexible model experimentation, and Hugging Face Transformers for working with pre-trained LLMs. JAX is used for high-performance numerical computing. The choice depends on the use case and team familiarity.",,
